Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1932,JPN,0,22.63888888888889,165.94444444444446,60.666666666666664,18,36,0,33,3,1,35
1932,MEX,0,20.6,177.6,79.8,0,5,0,5,0,0,5
1932,NED,0,21.333333333333332,182.33333333333334,74.33333333333333,0,3,0,3,0,1,2
1932,NOR,0,24.0,172.2,66.0,4,5,0,5,0,1,4
1932,NZL,0,27.333333333333332,166.33333333333334,58.333333333333336,0,3,0,3,0,0,3
1932,PHI,0,29.0,170.0,73.0,1,1,0,0,1,0,1
1932,POL,0,24.65909090909091,173.3409090909091,73.0,27,44,0,37,7,4,40
1932,RSA,0,28.666666666666668,176.88888888888889,67.66666666666667,1,9,0,9,0,3,6
1932,SUI,0,26.333333333333332,172.66666666666666,59.166666666666664,2,6,0,4,2,0,6
1932,SWE,0,28.0,182.53846153846155,75.92307692307692,2,13,0,13,0,0,13
1932,TCH,0,24.666666666666668,179.66666666666666,87.5,7,6,0,6,0,0,6
1932,USA,123,24.869918699186993,178.52032520325204,71.67479674796748,195,123,1,117,5,19,104
1932,YUG,0,34.0,192.0,85.0,0,1,0,1,0,0,1
1936,ARG,0,25.6,172.2,65.0,0,5,0,5,0,0,5
1936,AUS,0,24.2,175.2,74.6,1,5,0,5,0,0,5
1936,AUT,0,24.0,171.78571428571428,64.07142857142857,0,14,0,14,0,8,6
1936,BEL,0,35.375,174.25,68.625,0,8,0,7,1,0,8
1936,BRA,0,28.0,178.25,69.75,0,4,0,4,0,0,4
1936,CAN,0,23.416666666666668,178.13888888888889,69.44444444444444,17,36,0,32,4,4,32
1936,CHI,0,25.571428571428573,178.28571428571428,78.28571428571429,0,7,0,6,1,0,7
1936,CHN,0,26.846153846153847,170.46153846153845,66.07692307692308,0,13,0,2,11,0,13
1936,DEN,0,29.0,164.0,51.0,0,1,0,1,0,0,1
1936,EGY,0,26.666666666666668,171.33333333333334,71.33333333333333,0,3,0,0,3,0,3
1936,EST,0,23.823529411764707,178.88235294117646,82.17647058823529,9,17,0,14,3,0,17
1936,FIN,0,26.35576923076923,173.2596153846154,68.08653846153847,56,104,24,78,2,9,95
1936,FRA,0,26.44,176.44,75.06,7,50,0,41,9,1,49
1936,GBR,0,24.558139534883722,175.67441860465115,66.5813953488372,54,43,0,36,7,8,35
1936,GER,98,25.5,175.3877551020408,70.72448979591837,54,98,0,87,11,19,79
1936,GRE,0,22.5,175.5,80.0,0,2,0,2,0,0,2
